text,category
ฝึกตัวเองให้คิดบวก เรื่องดีๆจะเข้ามาทุกวัน,positive
อันนี้เขาไม่ได้เศร้าอะไรที่เกี่ยวกับเราใช่มั้ยคะ,negative
จนวันสอบวันสุดท้ายเค้ามาบอกกับเราว่าเลิกคุยกันเถอะ,negative
ความจริงนั้น คนคิดบวกคือคนที่ยังมองทุกอย่างในแบบที่มันเป็น,positive
เราก็ยังรู้สึกคิดถึงเขาเเละคิดถึงช่วงเวลาตอนนั้นที่มีเขาอยู่ด้วย,positive
ผมเคยอกหักหลายครั้งมาก เสียเงินและเสียใจกับความรักนับครั้งไม่ถ้วน,negative
เราระแวงไปหมด ควรทำยังไงดีค่ะ,negative
ตอนที่เคยคบกับแฟนเก่าคนนึง ตอนนั้นมันดีมากๆค่ะ,positive
เราเจอคนที่พอดี สำหรับกันและกันค่ะ,positive
กะว่าจะขอวิธีบอกเลิกที่ไม่เจ็บมากหน่อย,negative
วนมาคุยกันใหม่ตลอดจนตอนนี้เราได้คุยกันแบบเหมือนคนรักเลยเหมือนแฟนเลย,positive
เริ่มไม่ไหวกับพฤติกรรมของแฟนแล้ว,negative
เดินไปก็ยิ้ม ทำอะไรก็ยิ้ม,positive
ดิฉันอยู่กินกันแฟนใหม่มา2ปี มีลูกติด1คนแฟนใหม่ช่วยเลี้ยงดู ส่งเสียให้เรียนหนังสือค่าขนมค่านมค่าหมอทุกอย่างแฟนเป็นจ่ายให้,positive
การออกกำลังกายทำให้ร่างกาย ช่วยลดความเครียด,positive
ให้กำลังใจ,positive
เราจะคุยกับใครแล้วที่เค้าคิดเหมือนเรา หลายๆคนก็ชอบให้ความหวัง,positive
เราบอกเขาว่าเราอยากอยู่คนเดียว เขาก็บอกเราว่าถ้าไม่ทะเลาะกันก็ไม่มีอะไร มันทำให้เรายิ่งรู้สึกแย่,negative
คุยกันทุกวัน โทรหากันตลอด,positive
ขอคำบอกรักแฟนสั้นๆซึ้งๆหน่อยค่ะ,positive
จะมีคำพูดหวานๆ การดูแลกันที่ดีขึ้น,positive
เวลาได้เรียนด้วยรู้สึกมีกำลังใจ,positive
เเต่สุดท้ายเค้าก็เป็นเหมือนเดิมเลยค่ะ,negative
เขาก็ยังทำแบบเดิมทุกที,negative
พอมาเจอน้องคนนี้แล้วทำไม ผมจึงชอบน้องเขามากขนาดนี้ก็ไม่รู้,positive
แค่คิดว่าเค้าน่ารักดี,positive
ทำในสิ่งที่ต้องทำให้ดีที่สุดเสมอ,positive
